title,author,category,rating,description,url
系统流主角的我加入聊天群,极地旅者,系统,0.0,苏霖原本以为自己是 系统流 主角，正为系统点数一筹莫展之际。一声提示告知他加入了聊天群。“苏霖、叶凡、萧炎、韩立、蒙奇•D•路飞、卫宫士郎”“钟离、路明非、克莱恩…”看着群里的刚刚打败凯多的路飞，苏霖的第一笔点数有了进展。“@路飞你想救艾斯么？”于是黑暗动乱来临时，大成圣体不慌不忙摇人帮忙星球为丈量的岩枪破开星河而来一男子在星空一角号令世间火焰龙翼金眸男子坐在王座之上审判而苏霖在想怎么出场比前面几,https://m.qidian.com/book/1035869586
顶流手记,油炸大金,都市,0.0,沈星宇作为退役男团选手，原本是不打算继续混圈子了…怎么也没想到原本打算捞一笔就走的综艺节目居然出圈了！顺便，他也成了顶流…,https://m.qidian.com/book/1047414337
从每日酬勤开始证就武帝,系统加点,玄幻,0.0,神朝末年，礼崩乐坏。庙堂中，九圣临朝，派系倾轧，你方唱罢我登台。地方上，门阀割据，帮派林立，以人为药欲难填。乱世将至，药王传教虐天下，冢中枯骨尤复生；星妖显圣迷信众，为孕真魔祭全城。妖魔、武者、眷属。迷雾中，刀光剑影，人心似鬼，炽欲滔天。武道、灵纹、神祇。争斗间，苍穹坠落，大地燃烧，规则改换。在这天才埋于市井，公者死于沟渠的黑暗时代。陈绝觉醒武道至高天赋——“天道酬勤”，不会白流每一滴汗水。从心法,https://m.qidian.com/book/1049742383
财富自由从越南开始,青木流泉,都市,0.0,日薪一万美刀，准时到账！这破班，陈俊河是一天也忍不了。系统觉醒当天，他直接上交工牌裸辞。都说越南是有钱人的天堂。陈俊河揣着大把美刀，活得无比潇洒恣意，骑最快的摩托，载最辣的妹，逛最野的夜市，买最嗨的醉。从河内三十六行古街，到西贡的钻石广场，别人精打细算，他只看心情刷卡，别人卷生卷死，他爽到飞起。用最俗的钱，活成越南最浪的仔。,https://m.qidian.com/book/1047638081
你们都是我的翅膀！,田流酒,轻小说,0.0,【日式奇幻】【地下城】【慢节奏】【组队冒险】【多女主】穿越剑与魔法异世界，通关原著游戏的李昂知道，世界终焉随时都有可能降临。为了自身安全，李昂不断练级，拉拢主线角色，不断变强。在共同战斗中，教廷圣女、剑王女将、魔导千金、光之精灵等角色的好感度慢慢超过100%，奇妙的事发生了。【你解锁了圣女职业核心技能】【你通过补魔大幅度提升魔力上限】【你解锁了剑王级剑技】……直至大结局终焉降临，李昂笑了：“你，也,https://m.qidian.com/book/1040478400/
妖魔高武：从虎妖成长为白虎星君,系统加点,玄幻,0.0,赵昊雨夜斩妖，被同袍出卖。命悬一线间，他炼化妖血，激活可用煞气增强血脉与技能的虎妖模板。自此，他投身风云激荡的妖魔乱世……从镇守府基础的《斩魔刀法》，到戮仙斩魔的《纵横天意刀》。从只能修出寡淡真气的《基础内功》，到足以湮灭万法的《白虎碎星煞》。人们都说他是一只披着人皮的恶虎。但谁又知道，在他斩妖人的皮囊下，真的存在着一尊掌控杀伐之道的白虎星君！,https://m.qidian.com/book/1044988453
系统流修仙,渡河何度,仙侠,0.0,凌恒穿越修仙界，意外激活了辅助修仙系统。扫描功法，模拟修炼，推演战斗……不过他很快发现一个致命的问题：拥有系统的，不止他一个。更要命的是，使用系统修仙者，一律为邪修。正魔两道，共诛之。百年前，稷下学院太虚道人为帮助天下修士修炼创造灵枢，事态却意外失控，稷下学院被联手剿杀……不过事情并没有就这样结束，太虚道人的遗产遗留天地，邪修层出不穷，新的灵枢也不断产生……,https://m.qidian.com/book/1049524930
谁说这顶流癫！这顶流太棒了！,知稚,都市,0.0,【身在娱乐圈，如果给你一个可以放飞自我说话的机会，你会怎么做？】某天，内娱二线小生池野一觉醒来，看到了眼前这行字，陷入沉思。怎么做？天生就是阴阳师+毒舌的他，决定解放天性！于是，圈内所有人都传言——池野疯了。某慢综中，大厨人设的圈内前辈做出赛农药，静待嘉宾夸赞点评。其他嘉宾：妈妈的味道。池野：黄老师这猪食做的真不错。某场带货直播，资本联合明星售卖自传噶韭菜。其他艺人：粉丝必看的经典之作。池野：绝对,https://m.qidian.com/book/1043110228
刀流系统,二天刀流,玄幻,0.0,主角在刀流系统的帮助下，一路走上人生巅峰。,https://m.qidian.com/book/1017458416
超级体育巨星,金手指系统,都市,0.0,跑的比我快？出来吧，博尔特；游的比我猛？出来吧，菲尔普斯；……等一会，等我将这章更新了再比；带着系统来到平行世界，成为超级体育巨星，在各个领域碾压对手。（新书《超级篮球王》已发布）,https://m.qidian.com/book/1010238096
吕布的游戏,系统在线,历史,0.0,难道一个小小的属性点，就能打破自己认为的力量巅峰？……吕布手中闪着金光的方天画戟遥指天际，凌厉的恐怖气息从身遭迸发开来。“并州铁骑，出来吧！”……曾经辉煌的并州铁骑，如同黑色的潮水，带着一股肃杀之气冲入敌军阵营之中。……天下，无人能挡住并州铁骑的冲锋。,https://m.qidian.com/book/1030230322
挺孕肚随军，被禁欲大佬宠坏了！,流勍,现代言情,0.0,【架空年代】周家安排相亲，相看的是姐姐，却看上了妹妹。人人都说周瑶是狐狸精转世，不仅长得娇娇妖妖的，心思也不正经，为了攀高枝，连自己姐姐的婚事也抢。周·狐狸精·瑶：……其实我是想拒绝的。父母为了彩礼，把周瑶连夜塞进了男人的被窝，怀孕一个月的周瑶实在不想和蒋召这个没有感情基础的男人过一辈子。当即决定打掉孩子，和竹马私奔。一个梦境把她打回了现实。竹马的老实是装的。不仅是个赌徒还家暴！上一辈子凄惨而死。,https://m.qidian.com/book/1046944650/
都市传说,朱川湊人,都市,8.2,朱川湊人 / 曹逸冰 / 曹逸冰 / 北京联合出版公司 / 2014-5-1 / CNY 32.00,https://book.douban.com/subject/25851888/
GANTZ殺戮都市(01),奧浩哉,都市,8.4,奧浩哉 / 花栗鼠 / 尖端出版 / 2002-7-23 / 新台币110元,https://book.douban.com/subject/3135034/
都市革命,[法]亨利·列斐伏尔,都市,8.7,[法]亨利·列斐伏尔 / 刘怀玉 / 张笑夷 / 郑劲超 / 首都师范大学出版社 / 2018-5 / 48,https://book.douban.com/subject/27615464/
欲望都市,（美）坎迪斯·布什奈尔（Candace Bushnell）,都市,6.8,（美）坎迪斯·布什奈尔（Candace Bushnell） / none / 孟繁峰 / 吉林文史出版社 / 2006-4 / 36.00元,https://book.douban.com/subject/1780745/
遇见未知的自己 : 都市身心灵修行课,张德芬 著,都市,7.8,张德芬 著 / 范薇 绘 / 湖南文艺出版社 / 2012-10-1 / 29.00元,https://book.douban.com/subject/19955069/
都市风流,孙力,都市,7.9,孙力 / 余小惠 / 人民文学出版社 / 2019-4-1 / 45.00元,https://book.douban.com/subject/34432060/
都市风景线,刘呐鸥,都市,7.4,刘呐鸥 / 百花文艺出版社 / 2005年5月1日 / 13.0,https://book.douban.com/subject/1392648/
砂女 : 安部公房都市失踪三部曲,[日] 安部公房,都市,8.4,[日] 安部公房 / 于荣胜 / 华东师范大学出版社 / 2014-4 / 23.00元,https://book.douban.com/subject/25885021/
远去的都市 : 1950年代的上海,张济顺,都市,8.1,张济顺 / 社会科学文献出版社 / 2015-4 / 79.00元,https://book.douban.com/subject/26365770/
悬浮 : 异乡人的都市生存,严飞,都市,6.8,严飞 / 广西师范大学出版社 / 2022-11 / 68,https://book.douban.com/subject/36116450/
从白令海开始的淘金生涯,都市小白,都市,0.0,穿越在米国的一个淘金世家，意外觉醒能探测黄金的金手指。面对日益上涨的金价，杰森毅然决然踏上了淘金之路！从白令海起航，杰森不断追寻黄金脚步，哪里有黄金哪里就有杰森，最终成为一代淘金王者！一切都要从05年的白令海开始！,https://m.qidian.com/book/1048717404
无限恐怖之重振法爷荣光,都市摸金,诸天无限,0.0,这一年，主神的兑换选项还很贫瘠，没有那么多的烂强强化，没有那么多的轮椅兑换。江北放弃了一步登天的想法，只想凭借天生的精神力能力成为团队雷达，活到生化终章不死于打神石流血debuff就算胜利。那一刻，江北亲眼看到了奥术师启蒙强化凭空出现在主神兑换列表中。江北必须考虑这是不是此生唯一的机会……重振法爷荣光，我辈义不容辞！这一切的故事都源于这一年，江北坐着心爱的小轮椅催眠自己进入咒怨，只为给楚轩送终。（,https://m.qidian.com/book/1050038089/
都市大荒,楚山幽,都市,0.0,2010年中秋假期，一场连环碎尸案打破了小城宁静。精通机巧傀儡术、自称来自“大宋”的偃师少女在钢筋混凝土街巷中寻找回家的路。昏暗教室里，身首异处的高中少年再度睁开双眼，指尖勾勒出湛蓝光线。“我叫李昭垣，所有杀死我的，都会让我更强大。”...停滞的齿轮开始旋转，少年手机里那款沉寂已久的大荒游戏文本更新：【异乡人，你从石棺中苏醒_】【你爬出无名孤冢，从黑暗中醒来......】【空气中弥漫着岁月沉积的陈,https://m.qidian.com/book/1048239420
都市极品医神,风会笑,都市,0.0,【火爆爽文】五年前，废物叶辰犹如地上蠕虫般被人耻笑！但是五年后，他带着一百位上古大能回来了！ 吊打一切，谁与争锋！,https://www.hongxiu.com/book/12135613204254303
都市猎人,都市猎人,都市,0.0,我们眼中的世界，真的就像我们所看到的那样吗？万千生物中，是否真的只有人类一种智慧生物？我们总以为自己了解这个世界，但真的如此吗？现代 都市 中，总有一些我们所不知道的奇异生灵，同样，也有一些我们不知道的猎人。来吧，走进本书，带你领略不一样的都市，不一样的异闻传奇！————————建立了个读者群，大家有兴趣可以进群侃侃大山。群号：488460986,https://m.qidian.com/book/1003477570
